firsturl,date,chjh,mzelst
NA,"September 22, 2015 at 10:22AM",0,1
NA,"September 22, 2015 at 10:24AM",0,1
NA,"September 22, 2015 at 10:29AM",0,1
NA,"September 22, 2015 at 10:32AM",0,1
NA,"September 22, 2015 at 10:38AM",0,1
NA,"September 22, 2015 at 10:40AM",0,1
NA,"September 22, 2015 at 10:42AM",0,0
NA,"September 22, 2015 at 10:44AM",0,0
NA,"September 22, 2015 at 12:24PM",0,1
NA,"September 22, 2015 at 12:26PM",0,1
NA,"September 22, 2015 at 12:29PM",0,1
NA,"September 22, 2015 at 12:30PM",1,0
https://t.co/Ffk2K2WxlJ,"November 17, 2015 at 11:27PM",0,0
NA,"November 19, 2015 at 06:21PM",0,0
http://t.co/WMOTJFMbYT,"September 14, 2015 at 05:45PM",0,0
http://t.co/mBXjxt7kpL,"September 10, 2015 at 07:20PM",0,0
NA,"September 13, 2015 at 02:42PM",0,0
NA,"December 02, 2015 at 12:42PM",0,0
NA,"December 07, 2015 at 11:49AM",0,0
https://t.co/E5AbNGKkKp,"December 07, 2015 at 12:52PM",0,0
NA,"October 25, 2015 at 02:29PM",0,0
https://t.co/cM43RSiT6A,"November 16, 2015 at 05:23AM",0,0
NA,"December 10, 2015 at 11:38PM",0,0
https://t.co/6p5lPpkKtg,"November 11, 2015 at 09:31PM",0,0
NA,"October 29, 2015 at 06:14PM",0,0
NA,"November 30, 2015 at 01:18PM",0,0
NA,"November 06, 2015 at 02:18PM",0,0
NA,"November 09, 2015 at 09:21PM",0,0
NA,"November 11, 2015 at 02:24AM",0,0
NA,"October 22, 2015 at 09:55AM",0,0
http://t.co/8dCY3vW73A,"October 18, 2015 at 04:41PM",0,0
http://t.co/Id8Y2F4iTI,"September 02, 2015 at 11:57AM",0,0
NA,"November 10, 2015 at 07:11PM",0,0
NA,"October 21, 2015 at 05:35AM",0,0
http://t.co/jPYjJkVq2n,"September 08, 2015 at 12:00PM",0,0
NA,"October 19, 2015 at 09:47PM",0,0
NA,"November 08, 2015 at 12:21AM",0,0
NA,"December 10, 2015 at 10:21PM",0,0
NA,"November 26, 2015 at 12:14AM",0,0
NA,"November 26, 2015 at 12:15AM",0,0
NA,"November 25, 2015 at 05:48PM",0,0
NA,"November 01, 2015 at 11:34AM",0,0
NA,"December 06, 2015 at 11:12PM",0,0
NA,"December 06, 2015 at 11:13PM",0,0
NA,"November 16, 2015 at 12:19AM",0,0
NA,"December 04, 2015 at 07:17PM",0,0
NA,"October 29, 2015 at 06:47PM",0,0
NA,"August 22, 2015 at 07:27PM",0,0
https://t.co/mXWgM4HvZ7,"October 28, 2015 at 01:32AM",0,0
NA,"November 22, 2015 at 04:49PM",0,0
NA,"September 23, 2015 at 03:17PM",0,0
NA,"September 08, 2015 at 10:49PM",1,1
NA,"November 01, 2015 at 03:40PM",0,0
NA,"December 07, 2015 at 11:22AM",0,0
NA,"December 02, 2015 at 01:36AM",0,0
NA,"November 20, 2015 at 04:09PM",0,0
NA,"November 04, 2015 at 05:17PM",1,1
NA,"November 04, 2015 at 05:15PM",1,1
https://t.co/wUzYE0hrph,"November 01, 2015 at 04:00PM",0,0
NA,"September 26, 2015 at 06:16PM",0,0
NA,"October 21, 2015 at 10:06AM",0,0
NA,"October 13, 2015 at 04:56AM",0,0
NA,"October 25, 2015 at 07:44AM",0,0
NA,"November 22, 2015 at 10:46PM",0,0
http://t.co/jaPznK49vx,"October 15, 2015 at 04:38AM",1,1
NA,"September 16, 2015 at 11:44PM",0,0
NA,"October 28, 2015 at 04:23AM",0,0
http://t.co/kUkPar4EXy,"August 18, 2015 at 05:01PM",0,0
NA,"August 18, 2015 at 04:53PM",0,0
NA,"November 18, 2015 at 08:26PM",0,0
NA,"November 18, 2015 at 08:28PM",0,0
NA,"November 25, 2015 at 04:37AM",0,0
NA,"December 07, 2015 at 01:50PM",0,0
NA,"September 08, 2015 at 07:27PM",0,0
NA,"November 05, 2015 at 11:43PM",0,0
NA,"October 21, 2015 at 01:46PM",0,0
NA,"September 26, 2015 at 11:32PM",0,0
NA,"October 22, 2015 at 08:57PM",0,0
http://t.co/xFAzPvlw68,"September 10, 2015 at 12:02PM",0,0
NA,"August 25, 2015 at 04:55PM",0,0
NA,"September 21, 2015 at 03:42PM",0,0
NA,"November 13, 2015 at 03:31PM",0,0
NA,"October 20, 2015 at 01:10PM",0,0
NA,"November 23, 2015 at 08:47PM",0,0
NA,"September 07, 2015 at 05:43PM",0,0
NA,"November 29, 2015 at 09:01AM",0,0
NA,"September 16, 2015 at 04:19AM",0,0
https://t.co/cRldMTIs69,"October 27, 2015 at 01:42AM",0,0
NA,"October 25, 2015 at 04:33PM",0,0
NA,"November 19, 2015 at 06:43PM",0,0
NA,"December 08, 2015 at 09:33PM",0,0
https://t.co/STarGlUwtB,"December 09, 2015 at 01:21PM",1,1
https://t.co/DGompRqcsc,"October 21, 2015 at 02:35PM",0,0
NA,"October 21, 2015 at 01:43PM",0,0
NA,"October 29, 2015 at 05:48PM",0,0
https://t.co/gQ1B7G8jnW,"November 17, 2015 at 03:03PM",1,1
NA,"September 15, 2015 at 04:54PM",0,0
NA,"August 18, 2015 at 02:27PM",0,0
NA,"October 04, 2015 at 04:25AM",0,0
NA,"October 28, 2015 at 12:01PM",0,0
NA,"October 25, 2015 at 11:48PM",0,0
NA,"November 16, 2015 at 09:49AM",0,0
NA,"November 13, 2015 at 01:10PM",0,0
NA,"November 11, 2015 at 08:09PM",0,0
https://t.co/o14CI464f1,"November 21, 2015 at 10:49PM",0,0
NA,"November 03, 2015 at 05:20PM",0,0
NA,"November 19, 2015 at 09:06AM",0,0
NA,"November 13, 2015 at 11:00AM",0,0
http://t.co/kOOpUiY0Dj,"September 11, 2015 at 09:56PM",0,0
NA,"October 09, 2015 at 03:57PM",0,0
NA,"October 24, 2015 at 03:38PM",0,0
NA,"November 02, 2015 at 09:29PM",0,0
NA,"August 26, 2015 at 08:26PM",0,0
NA,"October 15, 2015 at 09:37PM",0,0
https://t.co/Ix3P3QthDd,"November 20, 2015 at 07:02AM",1,1
NA,"October 24, 2015 at 04:12AM",0,0
NA,"September 21, 2015 at 08:58PM",0,0
NA,"October 19, 2015 at 05:04PM",0,0
NA,"November 13, 2015 at 07:40PM",0,0
NA,"October 24, 2015 at 07:37PM",0,0
NA,"October 22, 2015 at 08:24PM",0,0
NA,"December 07, 2015 at 06:35PM",0,0
NA,"October 22, 2015 at 08:54PM",0,0
NA,"October 22, 2015 at 08:59PM",0,0
NA,"October 22, 2015 at 09:13PM",0,0
NA,"October 07, 2015 at 11:02PM",0,0
NA,"October 21, 2015 at 10:19AM",0,0
NA,"September 09, 2015 at 03:03PM",0,0
NA,"September 10, 2015 at 02:10PM",0,0
NA,"September 26, 2015 at 06:06AM",0,0
NA,"November 12, 2015 at 01:59PM",0,0
https://t.co/fxIqbuvbx8,"December 12, 2015 at 04:28PM",1,1
https://t.co/c8pJm5xXAb,"October 26, 2015 at 03:21PM",1,1
NA,"August 20, 2015 at 04:25AM",0,0
NA,"September 21, 2015 at 01:47PM",0,0
NA,"December 08, 2015 at 10:01AM",0,0
